profile,authority,authority_vocab,used_in_profile,controlled_field_ct,controlled_fields
materials_4-1-1,person,person/local,y,38,"Acquisitions: Acquisition source
Acquisitions: Authorizer (#<CspaceConfigUntangler::Message:0x000000014d35d5d8>)
Citation: Agent name
Deaccession: Deaccession approval individual (#<CspaceConfigUntangler::Message:0x000000014dc7d7a8>)
Deaccession: Exit recipient
Deaccession: Parties involved person
Group: Group owner
Loan Out: Borrower
Loan Out: Lender authorizer
Loan Out: Loan status individual
Location/Movement/Inventory: Inventory contact
Location/Movement/Inventory: Movement contact
Material: Production person name
Material: Term creator contributor
Material: Term editor
Media Handling: Contributor
Media Handling: Creator
Media Handling: Rights holder
Object Exit (Legacy): Current owner
Object Exit (Legacy): Deaccession approval individual
Object Exit (Legacy): Deaccession authorizer
Object Exit (Legacy): Depositor
Object Exit (Legacy): Disposal proposed recipient
Object Exit (Legacy): Disposal recipient
Object Exit: Approval status individual
Object Exit: Exit agent name
Object Exit: Owner after exit
Object: Annotation author
Object: Production person
Organization: Contact name
Place: Georeferenced by
Place: Owner
Use of Collections: Authorized by
Use of Collections: Staff name
Use of Collections: User name
Valuation Control: Source
Work: Creator name
Work: Publisher name"
materials_4-1-1,person,person/shared,y,26,"Acquisitions: Acquisition source
Loan Out: Borrower
Loan Out: Lender authorizer
Loan Out: Loan status individual
Location/Movement/Inventory: Inventory contact
Location/Movement/Inventory: Movement contact
Material: Production person name
Material: Term creator contributor
Material: Term editor
Media Handling: Contributor
Media Handling: Creator
Media Handling: Rights holder
Object Exit (Legacy): Current owner
Object Exit (Legacy): Depositor
Object Exit (Legacy): Disposal proposed recipient
Object Exit (Legacy): Disposal recipient
Object: Annotation author
Object: Production person
Place: Georeferenced by
Place: Owner
Use of Collections: Authorized by
Use of Collections: Staff name
Use of Collections: User name
Valuation Control: Source
Work: Creator name
Work: Publisher name"
materials_4-1-1,place,place/local,y,7,"Citation: Publication place
Material: Production place name
Media Handling: Coverage
Use of Collections: Location
Work: Address country
Work: Address municipality
Work: Address state/province"
materials_4-1-1,place,place/shared,y,2,"Material: Production place name
Use of Collections: Location"
materials_4-1-1,work,work/local,y,3,"Material: Featured application name
Material: Featured collection name
Object: Named collection"
materials_4-1-1,work,work/shared,y,2,"Material: Featured application name
Material: Featured collection name"
publicart_7-1-0,citation,citation/local,y,7,"Citation: Term source name (#<CspaceConfigUntangler::Message:0x00000001338d2550>)
Concept: Term source name (#<CspaceConfigUntangler::Message:0x000000013a5f3f30>)
Organization: Term source name (#<CspaceConfigUntangler::Message:0x0000000142bb6320>)
Person: Term source name (#<CspaceConfigUntangler::Message:0x000000014321d7b8>)
Place: Term source name (#<CspaceConfigUntangler::Message:0x0000000144a172b0>)
Storage Location: Term source name (#<CspaceConfigUntangler::Message:0x000000013d376f98>)
Work: Term source name (#<CspaceConfigUntangler::Message:0x0000000145affb90>)"
publicart_7-1-0,citation,citation/worldcat,y,7,"Citation: Term source name (#<CspaceConfigUntangler::Message:0x00000001338d2550>)
Concept: Term source name (#<CspaceConfigUntangler::Message:0x000000013a5f3f30>)
Organization: Term source name (#<CspaceConfigUntangler::Message:0x0000000142bb6320>)
Person: Term source name (#<CspaceConfigUntangler::Message:0x000000014321d7b8>)
Place: Term source name (#<CspaceConfigUntangler::Message:0x0000000144a172b0>)
Storage Location: Term source name (#<CspaceConfigUntangler::Message:0x000000013d376f98>)
Work: Term source name (#<CspaceConfigUntangler::Message:0x0000000145affb90>)"
publicart_7-1-0,concept,concept/archculture,n,0,""
publicart_7-1-0,concept,concept/associated,y,2,"Citation: Related term
Object: Artwork tag"
publicart_7-1-0,concept,concept/ethculture,n,0,""
publicart_7-1-0,concept,concept/material,y,2,"Citation: Related term
Object: Material"
publicart_7-1-0,concept,concept/nomenclature,n,0,""
publicart_7-1-0,concept,concept/occasion,n,0,""
publicart_7-1-0,concept,concept/worktype,y,1,Object: Work type
publicart_7-1-0,location,location/local,y,5,"Exhibition: Venue name
Intake: Current location
Intake: Normal location
Location/Movement/Inventory: Current location (#<CspaceConfigUntangler::Message:0x00000001415fe4d8>)
Object: Computed current location"
publicart_7-1-0,location,location/offsite,y,5,"Exhibition: Venue name
Intake: Current location
Intake: Normal location
Location/Movement/Inventory: Current location (#<CspaceConfigUntangler::Message:0x00000001415fe4d8>)
Object: Computed current location"
publicart_7-1-0,organization,organization/local,y,43,"Acquisitions: Acquisition source
Acquisitions: Commissioning body
Acquisitions: Funding source
Acquisitions: Owner
Citation: Agent name
Citation: Publisher
Condition Check: Checker/assessor
Conservation: Conservator
Conservation: Other treatment party name
Deaccession: Exit recipient
Deaccession: Parties involved on behalf of
Exhibition: Organizer
Exhibition: Support name
Exhibition: Venue name
Group: Group owner
Intake: Condition check assessor
Intake: Current location
Intake: Current owner
Intake: Depositor name
Intake: Normal location
Loan In: Lender name
Loan Out: Borrower name (#<CspaceConfigUntangler::Message:0x000000013d0b66f0>)
Location/Movement/Inventory: Current location (#<CspaceConfigUntangler::Message:0x00000001415fe4d8>)
Media Handling: Contributor
Media Handling: Creator
Media Handling: Rights holder
Object Exit (Legacy): Current owner
Object Exit (Legacy): Depositor
Object Exit (Legacy): Disposal proposed recipient
Object Exit (Legacy): Disposal recipient
Object Exit: Exit agent name
Object Exit: Owner after exit
Object: Artwork creator name
Object: Collection
Object: Computed current location
Object: Owner
Object: Textual inscription inscriber (#<CspaceConfigUntangler::Message:0x00000001301dfe80>)
Person: Person's organization
Place: Georeferenced by
Place: Owner
Valuation Control: Insurer
Valuation Control: Source
Work: Creator name"
publicart_7-1-0,organization,organization/shared,y,40,"Acquisitions: Acquisition source
Acquisitions: Commissioning body
Acquisitions: Funding source
Acquisitions: Owner
Condition Check: Checker/assessor
Conservation: Conservator
Conservation: Other treatment party name
Deaccession: Exit recipient
Exhibition: Organizer
Exhibition: Support name
Exhibition: Venue name
Group: Group owner
Intake: Condition check assessor
Intake: Current location
Intake: Current owner
Intake: Depositor name
Intake: Normal location
Loan In: Lender name
Loan Out: Borrower name (#<CspaceConfigUntangler::Message:0x000000013d0b66f0>)
Location/Movement/Inventory: Current location (#<CspaceConfigUntangler::Message:0x00000001415fe4d8>)
Media Handling: Contributor
Media Handling: Creator
Media Handling: Rights holder
Object Exit (Legacy): Current owner
Object Exit (Legacy): Depositor
Object Exit (Legacy): Disposal proposed recipient
Object Exit (Legacy): Disposal recipient
Object Exit: Exit agent name
Object Exit: Owner after exit
Object: Artwork creator name
Object: Collection
Object: Computed current location
Object: Owner
Object: Textual inscription inscriber (#<CspaceConfigUntangler::Message:0x00000001301dfe80>)
Person: Person's organization
Place: Georeferenced by
Place: Owner
Valuation Control: Insurer
Valuation Control: Source
Work: Creator name"
publicart_7-1-0,person,person/local,y,57,"Acquisitions: Acquisition source
Acquisitions: Approval individual (#<CspaceConfigUntangler::Message:0x000000013ce32fa0>)
Acquisitions: Authorizer (#<CspaceConfigUntangler::Message:0x000000013cd3fb48>)
Acquisitions: Commissioning body
Acquisitions: Funding source
Acquisitions: Owner
Citation: Agent name
Condition Check: Checker/assessor
Conservation: Analysis researcher
Conservation: Approved by
Conservation: Conservator
Conservation: Examination staff
Conservation: Other treatment party name
Deaccession: Deaccession approval individual (#<CspaceConfigUntangler::Message:0x000000013b715110>)
Deaccession: Exit recipient
Deaccession: Parties involved person
Exhibition: Organizer
Exhibition: Support name
Group: Checklist item assigned to
Group: Group owner
Intake: Approval individual (#<CspaceConfigUntangler::Message:0x000000013ab983a0>)
Intake: Condition check assessor
Intake: Current owner
Intake: Depositor name
Loan In: Lender contact
Loan In: Lender name
Loan In: Loan status individual
Loan Out: Borrower authorizer (#<CspaceConfigUntangler::Message:0x000000013d0b66f0>)
Loan Out: Borrower contact (#<CspaceConfigUntangler::Message:0x000000013d0b66f0>)
Loan Out: Borrower name (#<CspaceConfigUntangler::Message:0x000000013d0b66f0>)
Loan Out: Lender authorizer (#<CspaceConfigUntangler::Message:0x000000013d0b65b0>)
Loan Out: Lender contact (#<CspaceConfigUntangler::Message:0x000000013d0b65b0>)
Loan Out: Loan status individual
Location/Movement/Inventory: Movement contact
Media Handling: Contributor
Media Handling: Creator
Media Handling: Rights holder
Object Exit (Legacy): Current owner
Object Exit (Legacy): Deaccession approval individual
Object Exit (Legacy): Deaccession authorizer
Object Exit (Legacy): Depositor
Object Exit (Legacy): Disposal proposed recipient
Object Exit (Legacy): Disposal recipient
Object Exit: Approval status individual
Object Exit: Exit agent name
Object Exit: Owner after exit
Object: Annotation author
Object: Artwork creator name
Object: Object count counted by
Object: Owner
Object: Textual inscription inscriber (#<CspaceConfigUntangler::Message:0x00000001301dfe80>)
Person: Other information author
Place: Georeferenced by
Place: Owner
Valuation Control: Insurer
Valuation Control: Source
Work: Creator name"
